product_code,description,unit_of_measure,unit_price,case_price
BSTBR48,iECO BAMBOO CUTLERY COMBO PACK 48/PK X 12/CS iECO COUTELLERIE ASSORTIE EN BAMBOU 48/PK X 12/CS UPC Pack: 059212323421 UPC Case: 059212323438,CASE,3.12,37.44
BSTBRF,iECO BAMBOO FORKS 24/PK X 24/CS iECO FOURCHETTES EN BAMBOU 24/PK X 24/CS UPC Pack: 059212323469 UPC Case: 059212323476,CASE,1.44,34.56
BSTBRK,iECO BAMBOO KNIVES 24/PK X 24/CS iECO COUTEAUX EN BAMBOU 24/PK X 24/CS UPC Pack: 059212323445 UPC Case: 059212323452,CASE,1.28,30.72
BSTBRT,iECO BAMBOO TEASPOONS 24/PK X 24/CS iECO CUILLERES EN BAMBOU 24/PK X 24/CS UPC Pack: 059212323483 UPC Case: 059212323490,CASE,1.55,37.20
BSTCCF5,IECO BIRCH FORK 100/PK x 5BOX ( 8/TRAY-CASE) (1692514) IECO FOURCHETTE EN BOULEAU 100/PQT x 5BOITE (8/TRAY-CTN) (1692514) UPC Pack: 059212314092 UPC Case: 059212314108,EACH,10.40,83.20
BSTCCK5,IECO BIRCH KNIVES 100/PK x 5BOX ( 8/TRAY-CASE) (1692516) IECO COUTEAU EN BOULEAU 100/PQT x 5BOITE (8/TRAY-CTN) (1692516) UPC Pack: 059212314115 UPC Case: 059212314122,EACH,8.80,70.40
BSTCCLT,iECO BIRCH LONG HANDLED SPOON 500 PCS/PK x 12/CS iECO CUILLERE A MANCHE LONG EN BOULEAU 500 PCS/PK x 12/CS UPC Pack: 059212323636 UPC Case: 059212323643,CASE,12.88,154.59
BSTCCT5,IECO BIRCH TEASPOON 100/PK x 5BOX ( 8/TRAY-CASE) (1692513) IECO CUILLERE A THE EN BOULEAU 100/PQT x 5BOITE (8/TRAY-CTN) (1692513) UPC Pack: 059212314139 UPC Case: 059212314146,EACH,10.77,86.16
BSTCICS,iECO BIRCH ICE CREAM SPOON 9.5 CM 1000 PCS/PK x 5/CS (1926732) iECO CUILLERE A GLACE EN BOULEAU 9.5 CM 1000 PCS/PK x 5/CS (1926732) UPC Pack: 059212323391 UPC Case: 059212323407,CASE,12.43,62.14
BSTCIF,iECO BIRCH FORKS 100/PK X 10/CS (1671907) iECO FOURCHETTES EN BOULEAU 100/PK X 10/CS (1671907) UPC Pack: 059212314214 UPC Case: 059212314221,CASE,3.58,35.80
BSTCIFP,iECO BIRCH FORK INDIVIDUALLY WRAPPED PK 500/CS (1692517) iECO FOURCHETTE EN BOULEAU EMBALLE INDIVIDUELLEMENT 500/CS (1692517) UPC Pack: UPC Case: 059212317512,CASE,0.07,32.80
BSTCIK,iECO BIRCH KNIVES 100/PK X 10/CS (1671918) iECO COUTEAUX EN BOULEAU 100/PK X 10/CS (1671918) UPC Pack: 059212314238 UPC Case: 059212314245,CASE,2.62,26.20
BSTCIKP,iECO BIRCH KNIFE INDIVIDUALLY WRAPPED PK 500/CS (1692518) iECO COUTEAU EN BOULEAU EMBALLE INDIVIDUELLEMENT 500/CS (1692518) UPC Pack: UPC Case: 059212317529,CASE,0.05,26.46
BSTCIS,iECO BIRCH SOUP SPOON 100/PK X 10/CS iECO CUILLERE A SOUPE EN BOULEAU 100/PK X 10/CS UPC Pack: 059212317680 UPC Case: 059212317673,CASE,3.98,39.80
BSTCISP,iECO BIRCH SOUPSPOON INDIVIDUALLY WRAPPED PK 500/CS (1692519) iECO CUILLERE A SOUPE EN BOULEAU EMBALLE INDIVIDUELLEMENT 500/CS (1692519) UPC Pack: UPC Case: 059212317666,CASE,0.07,36.86
BSTCKIT5,iECO BIRCH 5PC CUTLERY KIT 250/CS (1692521) iECO ENSEMBLE DE COUTELLERIE 5MCX EN BOULEAU 250/CS (1692521) UPC Pack: UPC Case: 059212318366,CASE,0.15,36.85
BSTCIT,iECO BIRCH TEASPOONS 100/PK X 10/CS (1671927) iECO CUILLERES EN BOULEAU 100/PK X 10/CS (1671927) UPC Pack: 059212314252 UPC Case: 059212314269,CASE,3.54,35.40
BSTCITP,iECO BIRCH TEASPOON INDIVIDUALLY WRAPPED PK 500/CS (1692520) iECO CUILLERE EN BOULEAU EMBALLE INDIVIDUELLEMENT 500/CS (1692520) UPC Pack: UPC Case: 059212317536,CASE,0.07,33.29
BSTCRF,iECO BIRCH FORKS 24/PK X 24/CS iECO FOURCHETTES EN BOULEAU 24/PK X 24/CS UPC Pack: 059212314153 UPC Case: 059212314160,CASE,1.29,30.96
BSTCRK,iECO BIRCH KNIVES 24/PK X 24/CS iECO COUTEAUX EN BOULEAU 24/PK X 24/CS UPC Pack: 059212314177 UPC Case: 059212314184,CASE,1.08,25.92
BSTCRS,IECO BIRCH SOUP SPOON 24/PK x 24/CS IECO CUILLERE A SOUPE EN BOULEAU 24/PQT x 24/CS UPC Pack: 059212322004 UPC Case: 059212322011,CASE,1.03,24.72
BSTCRT,iECO BIRCH TEASPOONS 24/PK X 24/CS iECO CUILLERES EN BOULEAU 24/PK X 24/CS UPC Pack: 059212314191 UPC Case: 059212314207,CASE,1.49,35.76
BSTCKIT,iECO BIRCH CUTLERY KIT INDIVIDUALLY WRAPPED 3PC 250/CS (1692522) iECO ENSEMBLE DE COUTELLERIE EN BOULEAU EMBALLE INDIVIDUELLEMENT 250/CS (1692522) UPC Pack: UPC Case: 059212317543,CASE,0.13,32.17
BSTC360,iECO BIRCH CUTLERY COMBO PACK 360/PK X 6/CS iECO COUTELLERIE ASSORTIE EN BOULEAU 360/PK X 6/CS UPC Pack: 059212318168 UPC Case: 059212318175,CASE,12.62,75.72
BSTCR48,iECO BIRCH CUTLERY COMBO PACK 48/PK X 12/CS iECO COUTELLERIE ASSORTIE EN BOULEAU 48/PK X 12/CS UPC Pack: 059212318182 UPC Case: 059212318199,CASE,2.18,26.16
BZDSER2,CAFE EXPRESS SERVING UTENSILS 4/PK x 36/CS CAFE EXPRESS UTENSILES DE SERVICE 4/PK x 36/CS UPC Pack: 059212994744 UPC Case: 059212994751,CASE,0.59,21.24
BZDSERT,CAFE EXPRESS CLEAR PLASTIC TONGS 2/PK 36/CS CAFE EXPRESS PINCES EN PLASTIQUE CLAIR 2/PK 36/CS UPC Pack: 059212732957 UPC Case: 059212732964,CASE,0.95,34.20
BAG7P15,"iECO 7"" BAGASSE PLATE 15/PK X 24/CS iECO ASSIETTE EN BAGASSE 7"" 15/PK X 24/CS UPC Pack: 059212000667 UPC Case: 059212000728",CASE,1.04,24.96
BAG7P30,"iECO 7"" BAGASSE PLATE 30/PK X 14/CS iECO ASSIETTE EN BAGASSE 7"" 30/PK X 14/CS UPC Pack: 059212312166 UPC Case: 059212312173",CASE,1.78,24.92
BAG9P10,"iECO 9"" BAGASSE PLATE 10/PK X 24/CS iECO ASSIETTE EN BAGASSE 9"" 10/PK X 24/CS UPC Pack: 059212000674 UPC Case: 059212000735",CASE,1.37,32.88
BAG9P1C,"iECO 9"" BAGASSE PLATE 3 COMPARTMENTS 10/PK X 24/CS iECO ASSIETTE EN BAGASSE 9"" AVEC COMPARTIMENTS 10/PK X 24/CS UPC Pack: 059212000681 UPC Case: 059212000742",CASE,1.34,32.16
BAG9P40,"iECO 9"" BAGASSE PLATE 40/PK X 14/CS (1984701) iECO ASSIETTE EN BAGASSE 9"" 40/PK X 14/CS (1984701) UPC Pack: 059212312180 UPC Case: 059212312197",CASE,4.28,59.92
BAG10P8,"iECO 10"" BAGASSE PLATE 8/PK X 24/CS iECO ASSIETTE EN BAGASSE 10"" 8/PK X 24/CS UPC Pack: 059212000698 UPC Case: 059212000759",CASE,1.50,36.00
BAG10P30,"iECO 10"" BAGASSE PLATE 30/PK X 14/CS iECO ASSIETTE EN BAGASSE 10"" 30/PK X 14/CS UPC Pack: 059212312203 UPC Case: 059212312210",CASE,4.30,60.20
BAG10P8C,"iECO 10"" BAGASSE PLATE 3 COMPARTMENT 8/PK X 24/CS iECO ASSIETTE EN BAGASSE 10"" 3 COMPARTIMENTS 8/PK X 24/CS UPC Pack: 059212000704 UPC Case: 059212000766",CASE,1.50,36.00
BAG12B12,iECO 12OZ BAGASSE BOWL 12/PK X 24/CS iECO BOL 12oz EN BAGASSE 12/PK X 24/CS UPC Pack: 059212000711 UPC Case: 059212000773,CASE,1.14,27.36
BAG12B30,iECO 12OZ BAGASSE BOWL 30/PK X 12/CS iECO BOL EN BAGASSE 12OZ 30/PK X 12/CS UPC Pack: 059212312227 UPC Case: 059212312234,CASE,2.28,27.36
BAG12P20,"iECO 12"" BAGASSE PLATTER 20/PK X 12/CS iECO PLATEAU 12"" EN BAGASSE 20/PK X 12/CS UPC Pack: 059212325302 UPC Case: 059212325319",CASE,4.07,48.85
RDISP01,ADJUSTABLE PLATE DISPLAY WITH HEADER 6/CS PRESENTOIR AJUSTABLE POUR ASSIETTES 6/CTN UPC Pack: 059212318403 UPC Case: 059212318397,CASE,3.33,20.00
BPP1010,"CAFE EXPRESS 10"" PAPER PLATES 10/PK X 30/CS CAFE EXPRESS ASSIETTES EN PAPIER 10"" 10/PQT X 30/CS UPC Pack: 059212321236 UPC Case: 059212321243",CASE,1.76,52.80
BPP1050,"CAFE EXPRESS 10"" PAPER PLATES 50/PK X 10/CS CAFE EXPRESS ASSIETTES EN PAPIER 10"" 50/PQT X 10/CS UPC Pack: 059212321250 UPC Case: 059212321267",CASE,6.38,63.80
BPP20B15,CAFE EXPRESS 20OZ PAPER BOWLS 15/PK X 30/CS CAFE EXPRESS BOLS EN PAPIER 20OZ 15/PQT X 30/CS UPC Pack: 059212321274 UPC Case: 059212321281,CASE,1.41,42.30
BPP20B50,CAFE EXPRESS 20OZ PAPER BOWLS 50/PK X 12/CS CAFE EXPRESS BOLS EN PAPIER 20OZ 50/PQT X 12/CS UPC Pack: 059212321298 UPC Case: 059212321304,CASE,4.07,48.84
BPP715,"CAFE EXPRESS 7"" PAPER PLATES 15/PK X 30/CS CAFE EXPRESS ASSIETTES EN PAPIER 7"" 15/PQT X 30/CS UPC Pack: 059212321151 UPC Case: 059212321168",CASE,1.04,31.20
BPP750,"CAFE EXPRESS 7"" PAPER PLATES 50/PK X 16/CS CAFE EXPRESS ASSIETTES EN PAPIER 7"" 50/PQT X 16/CS UPC Pack: 059212321175 UPC Case: 059212321182",CASE,3.18,50.88
BPP8125,"CAFE EXPRESS 8.5"" PAPER PLATES 125/PK X 4/CS CAFE EXPRESS ASSIETTE EN PAPIER DE 8.5"" 125/PQT X 4/CS UPC Pack: 059212322127 UPC Case: 059212322134",CASE,12.05,48.20
BPP8125P,"CAFE EXPRESS 8.5"" PAPER PLATES 125/PK 120/POD CAFE EXPRESS ASSIETTE EN PAPIER DE 8.5"" 125/PQT 120/POD UPC Pack: 059212322127 UPC Case: 059212322547",EACH,11.66,1399.20
BPP815,"CAFE EXPRESS 8.5"" PAPER PLATES 15/PK X 30/CS CAFE EXPRESS ASSIETTES EN PAPIER 8.5"" 15/PQT X 30/CS UPC Pack: 059212321199 UPC Case: 059212321205",CASE,1.42,42.60
BPP850,"CAFE EXPRESS 8.5"" PAPER PLATES 50/PK X 16/CS CAFE EXPRESS ASSIETTES EN PAPIER 8.5"" 50/PQT X 16/CS UPC Pack: 059212321212 UPC Case: 059212321229",CASE,3.94,63.04
BPP652,"GREEN LABEL 6"" PAPER PLATES 60/PACK X 20/CS GREEN LABEL ASSIETTES EN PAPIER 6"" 60/PAQUET X 20/CS UPC Pack: 076955772323 UPC Case: 10076955772320",CASE,2.03,40.60
BPP9A,"GREEN LABEL 9"" PAPER PLATES 100/PK - 1200/CS (345329)(1128273) GREEN LABEL ASSIETTES EN PAPIER 9"" 1200/CS (345329)(1128273) UPC Pack: 076955754701 UPC Case: 10076955754708",CASE,4.23,50.76
BZPL712,"CAFE EXPRESS 7"" PLASTIC PLATES 12/PK x 36/CASE CAFE EXPRESS ASSIETTES EN PLASTIQUE 7"" 12/PK 36/CASE UPC Pack: 059212734722 UPC Case: 059212734739",CASE,1.00,36.00
